family,size,id,mma_inst,mma_tiler,cluster,two_cta,swizzle,raster,scheduler,variant,fallback,prefetch,cached
fp8,1024,two_cta_c44,256x256x64,256x256x128,4x4,1,1,n,static_persistent,,,,
fp8,2048,two_cta_c41,256x256x64,256x256x128,4x1,1,4,n,static_persistent,,,,
fp8,4096,two_cta_c42,256x256x64,256x256x128,4x2,1,1,m,static_persistent,,,,
fp8,8192,b_reuse_c24,256x256x64,512x256x128,2x4,1,4,m,static_persistent,,,,
fp8,16384,b_reuse_c24,256x256x64,512x256x128,2x4,1,8,n,static_persistent,,,,
fp8,32768,b_reuse_c24,256x256x64,512x256x128,2x4,1,8,n,static_persistent,,,,
nvfp4,1024,b_reuse_128_c2,128x128x128,256x128x256,2x1,0,2,m,clc_dynamic_persistent,,,3,
nvfp4,2048,b_reuse_c22,256x256x128,512x256x256,2x2,1,8,m,clc_dynamic_persistent,,,auto,
nvfp4,4096,wide_2cta_c21,256x256x128,256x256x256,2x1,1,1,m,clc_dynamic_persistent,,,0,
nvfp4,8192,mixed_b_reuse_2cta,256x256x128,512x256x256,2x4,1,1,m,static_persistent,mixed,2x1,0,
nvfp4,16384,b_reuse_c21,256x256x128,512x256x256,2x1,1,8,n,static_persistent,,,0,
nvfp4,32768,b_reuse_c42,256x256x128,512x256x256,4x2,1,4,n,clc_dynamic_persistent,,,4,
fp8_fp8,1024,small_k256,128x128x64,128x128x256,1x1,0,1,n,static_persistent,,,,
fp8_fp8,2048,two_cta_c41,256x256x64,256x256x128,4x1,1,1,m,static_persistent,,,,
fp8_fp8,4096,two_cta_c24,256x256x64,256x256x128,2x4,1,1,m,static_persistent,,,,
fp8_fp8,8192,b_reuse_c24,256x256x64,512x256x128,2x4,1,8,m,static_persistent,,,,
fp8_fp8,16384,b_reuse_c24,256x256x64,512x256x128,2x4,1,8,n,static_persistent,,,,
fp8_fp8,32768,b_reuse_c24,256x256x64,512x256x128,2x4,1,4,m,static_persistent,,,,
nvfp4_fp4,1024,grouped_256_64_256_4x1_1,256x64x128,256x64x256,4x1,,,,,grouped,,,1
nvfp4_fp4,2048,grouped_256_64_512_4x4_0,256x64x128,512x64x256,4x4,,,,,grouped,,,0
nvfp4_fp4,4096,grouped_256_256_256_2x4_0,256x256x128,256x256x256,2x4,,,,,grouped,,,0
nvfp4_fp4,8192,mixed_256_256_256_2x4_2x1,256x256x128,256x256x256,2x4,,,,,grouped_mixed,2x1,,
nvfp4_fp4,16384,mixed_256_256_512_2x4_2x1,256x256x128,512x256x256,2x4,,,,,grouped_mixed,2x1,,
nvfp4_fp4,32768,mixed_256_256_512_2x4_2x1,256x256x128,512x256x256,2x4,,,,,grouped_mixed,2x1,,
