family,size,kernel
fp8,1024,cutlass3x_sm107_tensorop_gemm_e4m3_e4m3_f32_bf16_bf16_128x128x128_2x1x1_0_tnt_align16_2sm_epi_tma
fp8,2048,cutlass3x_sm107_tensorop_gemm_e4m3_e4m3_f32_bf16_bf16_128x128x128_2x1x1_0_tnt_align16_2sm_epi_tma
fp8,4096,cutlass3x_sm107_tensorop_gemm_e4m3_e4m3_f32_bf16_bf16_256x128x128_2x1x1_0_tnt_align16_2sm
fp8,8192,cutlass3x_sm107_tensorop_gemm_e4m3_e4m3_f32_bf16_bf16_256x256x128_0x0x1_0_tnt_align16_2sm
fp8,16384,cutlass3x_sm107_tensorop_gemm_e4m3_e4m3_f32_bf16_bf16_256x256x128_2x1x1_0_tnt_align16_2sm
fp8,32768,cutlass3x_sm107_tensorop_gemm_e4m3_e4m3_f32_bf16_bf16_256x256x128_4x2x1_0_tnt_align16_2sm
nvfp4,1024,cutlass3x_sm107_bstensorop_gemm_ue4m3xe2m1_ue4m3xe2m1_f32_bf16_bf16_128x128x256_1x1x1_0_tnt_align32_o_vs16_1sm
nvfp4,2048,cutlass3x_sm107_bstensorop_gemm_ue4m3xe2m1_ue4m3xe2m1_f32_bf16_bf16_128x192x256_2x1x1_0_tnt_align32_o_vs16_1sm
nvfp4,4096,cutlass3x_sm107_bstensorop_gemm_ue4m3xe2m1_ue4m3xe2m1_f32_bf16_bf16_256x128x256_2x1x1_0_tnt_align32_o_vs16_2sm
nvfp4,8192,cutlass3x_sm107_bstensorop_gemm_ue4m3xe2m1_ue4m3xe2m1_f32_bf16_bf16_256x256x256_2x1x1_0_tnt_align32_o_vs16_2sm
nvfp4,16384,cutlass3x_sm107_bstensorop_gemm_ue4m3xe2m1_ue4m3xe2m1_f32_bf16_bf16_256x256x256_2x1x1_0_tnt_align32_o_vs16_2sm
nvfp4,32768,cutlass3x_sm107_bstensorop_gemm_ue4m3xe2m1_ue4m3xe2m1_f32_bf16_bf16_256x256x256_2x1x1_0_tnt_align32_o_vs16_2sm
